name,name_bn,category,subtype,description,description_bn,area,district,division,address,phone,website,rating,badge_key,price_info,features,is_verified
Jhalokati Service Center 30,Jhalokati সেবা কেন্দ্র,government,passport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Badda,Jhalokati,Barisal,"Badda Road, Jhalokati",01711003973,,3.9,,BDT 500,24/7 Support,1
Rangpur Hospital 31,Rangpur হাসপাতাল,hospital,govt-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Mirpur,Rangpur,Rangpur,"Mirpur Road, Rangpur",01711004110,https://listing31.org.bd,4.0,,Free,Online Booking,1
Jamalpur Service 32,Jamalpur সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Uttara,Jamalpur,Mymensingh,"Uttara Road, Jamalpur",01711004247,,4.1,,BDT 500,,1
Narayanganj Service Center 33,Narayanganj সেবা কেন্দ্র,government,nid,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Dhanmondi,Narayanganj,Dhaka,"Dhanmondi Road, Narayanganj",01711004384,https://listing33.org.bd,4.2,,BDT 500,"ICU, OPD, Emergency",0
Feni Hospital 34,Feni হাসপাতাল,hospital,private-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Gulshan,Feni,Chittagong,"Gulshan Road, Feni",01711004521,,4.3,,Free,24/7 Support,1
Naogaon Service 35,Naogaon সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Banani,Naogaon,Rajshahi,"Banani Road, Naogaon",01711004658,https://listing35.org.bd,4.4,,BDT 500,Online Booking,1
Khulna Service Center 36,Khulna সেবা কেন্দ্র,government,passport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Mohakhali,Khulna,Khulna,"Mohakhali Road, Khulna",01711004795,,4.5,,BDT 500,,1
Moulvibazar Hospital 37,Moulvibazar হাসপাতাল,hospital,govt-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Shahbag,Moulvibazar,Sylhet,"Shahbag Road, Moulvibazar",01711004932,https://listing37.org.bd,4.6,,Free,"ICU, OPD, Emergency",0
Patuakhali Service 38,Patuakhali সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Agrabad,Patuakhali,Barisal,"Agrabad Road, Patuakhali",01711005069,,4.7,,BDT 500,24/7 Support,1
Gaibandha Service Center 39,Gaibandha সেবা কেন্দ্র,government,nid,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Motijheel,Gaibandha,Rangpur,"Motijheel Road, Gaibandha",01711005206,https://listing39.org.bd,4.8,,BDT 500,Online Booking,1
Trishal Hospital 40,Trishal হাসপাতাল,hospital,private-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Badda,Trishal,Mymensingh,"Badda Road, Trishal",01711005343,,4.9,,Free,,1
Dhaka Service 41,Dhaka সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Mirpur,Dhaka,Dhaka,"Mirpur Road, Dhaka",01711005480,https://listing41.org.bd,3.0,,BDT 500,"ICU, OPD, Emergency",0
Coxs Bazar Service Center 42,Coxs Bazar সেবা কেন্দ্র,government,passport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Uttara,Coxs Bazar,Chittagong,"Uttara Road, Coxs Bazar",01711005617,,3.1,,BDT 500,24/7 Support,1
Pabna Hospital 43,Pabna হাসপাতাল,hospital,govt-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Dhanmondi,Pabna,Rajshahi,"Dhanmondi Road, Pabna",01711005754,https://listing43.org.bd,3.2,,Free,Online Booking,1
Kushtia Service 44,Kushtia সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Gulshan,Kushtia,Khulna,"Gulshan Road, Kushtia",01711005891,,3.3,,BDT 500,,1
Sylhet Sadar Service Center 45,Sylhet Sadar সেবা কেন্দ্র,government,nid,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Banani,Sylhet Sadar,Sylhet,"Banani Road, Sylhet Sadar",01711006028,https://listing45.org.bd,3.4,,BDT 500,"ICU, OPD, Emergency",0
Barisal Hospital 46,Barisal হাসপাতাল,hospital,private-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Mohakhali,Barisal,Barisal,"Mohakhali Road, Barisal",01711006165,,3.5,,Free,24/7 Support,1
Dinajpur Service 47,Dinajpur সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Shahbag,Dinajpur,Rangpur,"Shahbag Road, Dinajpur",01711006302,https://listing47.org.bd,3.6,,BDT 500,Online Booking,1
Netrokona Service Center 48,Netrokona সেবা কেন্দ্র,government,passport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Agrabad,Netrokona,Mymensingh,"Agrabad Road, Netrokona",01711006439,,3.7,,BDT 500,,1
Tangail Hospital 49,Tangail হাসপাতাল,hospital,govt-hospital,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Motijheel,Tangail,Dhaka,"Motijheel Road, Tangail",01711006576,https://listing49.org.bd,3.8,,Free,"ICU, OPD, Emergency",0
Rangamati Service 50,Rangamati সেবা কেন্দ্র,service,transport,Reliable and verified listing for citizens.,নাগরিকদের জন্য নির্ভরযোগ্য ও যাচাইকৃত তালিকা।,Badda,Rangamati,Chittagong,"Badda Road, Rangamati",01711006713,,3.9,,BDT 500,24/7 Support,1
