name,name_bn,category,subtype,description,description_bn,area,district,division,address,phone,website,rating,badge_key,price_info,features,is_verified
Home Cleaning Service Rajshahi #19,হোম ক্লিনিং সার্ভিস Rajshahi #19,service,home,Reliable home cleaning service available across Rajshahi.,Rajshahi জুড়ে নির্ভরযোগ্য হোম ক্লিনিং সার্ভিস উপলব্ধ।,Sadar,Rajshahi,Rajshahi,"Sadar, Rajshahi",01711007946,,4.0,,Contact for pricing,"Verified, Fast Response",1
City Transport Service Khulna #20,সিটি ট্রান্সপোর্ট সার্ভিস Khulna #20,service,transport,Reliable city transport service available across Khulna.,Khulna জুড়ে নির্ভরযোগ্য সিটি ট্রান্সপোর্ট সার্ভিস উপলব্ধ।,Kotwali,Khulna,Khulna,"Kotwali, Khulna",01711008083,,4.1,,BDT 1200,"Verified, Fast Response",0
Electronics Repair Sylhet #21,ইলেকট্রনিক্স রিপেয়ার Sylhet #21,service,repairs,Reliable electronics repair available across Sylhet.,Sylhet জুড়ে নির্ভরযোগ্য ইলেকট্রনিক্স রিপেয়ার উপলব্ধ।,Mirpur,Sylhet,Sylhet,"Mirpur, Sylhet",01711008220,,4.2,,BDT 300,"Verified, Fast Response",1
Online Doctor Consult Barisal #22,অনলাইন ডাক্তার পরামর্শ Barisal #22,service,telemedicine,Reliable online doctor consult available across Barisal.,Barisal জুড়ে নির্ভরযোগ্য অনলাইন ডাক্তার পরামর্শ উপলব্ধ।,Dhanmondi,Barisal,Barisal,"Dhanmondi, Barisal",01711008357,,4.3,,Contact for pricing,"Verified, Fast Response",0
Home Tutor Service Rangpur #23,হোম টিউটর সার্ভিস Rangpur #23,service,tutor,Reliable home tutor service available across Rangpur.,Rangpur জুড়ে নির্ভরযোগ্য হোম টিউটর সার্ভিস উপলব্ধ।,Uttara,Rangpur,Rangpur,"Uttara, Rangpur",01711008494,,4.4,,BDT 500,"Verified, Fast Response",1
Utility Bill Help Mymensingh #24,ইউটিলিটি বিল সহায়তা Mymensingh #24,service,utility,Reliable utility bill help available across Mymensingh.,Mymensingh জুড়ে নির্ভরযোগ্য ইউটিলিটি বিল সহায়তা উপলব্ধ।,Gulshan,Mymensingh,Mymensingh,"Gulshan, Mymensingh",01711008631,,4.5,,BDT 600,"Verified, Fast Response",0
Home Cleaning Service Dhaka #25,হোম ক্লিনিং সার্ভিস Dhaka #25,service,home,Reliable home cleaning service available across Dhaka.,Dhaka জুড়ে নির্ভরযোগ্য হোম ক্লিনিং সার্ভিস উপলব্ধ।,Mohammadpur,Dhaka,Dhaka,"Mohammadpur, Dhaka",01711008768,,4.6,,Contact for pricing,"Verified, Fast Response",1
City Transport Service Chittagong #26,সিটি ট্রান্সপোর্ট সার্ভিস Chittagong #26,service,transport,Reliable city transport service available across Chittagong.,Chittagong জুড়ে নির্ভরযোগ্য সিটি ট্রান্সপোর্ট সার্ভিস উপলব্ধ।,Banani,Chittagong,Chittagong,"Banani, Chittagong",01711008905,,4.7,,BDT 800,"Verified, Fast Response",0
Electronics Repair Rajshahi #27,ইলেকট্রনিক্স রিপেয়ার Rajshahi #27,service,repairs,Reliable electronics repair available across Rajshahi.,Rajshahi জুড়ে নির্ভরযোগ্য ইলেকট্রনিক্স রিপেয়ার উপলব্ধ।,Agrabad,Rajshahi,Rajshahi,"Agrabad, Rajshahi",01711009042,,4.8,,BDT 900,"Verified, Fast Response",1
Online Doctor Consult Khulna #28,অনলাইন ডাক্তার পরামর্শ Khulna #28,service,telemedicine,Reliable online doctor consult available across Khulna.,Khulna জুড়ে নির্ভরযোগ্য অনলাইন ডাক্তার পরামর্শ উপলব্ধ।,Zindabazar,Khulna,Khulna,"Zindabazar, Khulna",01711009179,,4.9,,Contact for pricing,"Verified, Fast Response",0
Home Tutor Service Sylhet #29,হোম টিউটর সার্ভিস Sylhet #29,service,tutor,Reliable home tutor service available across Sylhet.,Sylhet জুড়ে নির্ভরযোগ্য হোম টিউটর সার্ভিস উপলব্ধ।,Sadar,Sylhet,Sylhet,"Sadar, Sylhet",01711009316,,3.6,,BDT 1100,"Verified, Fast Response",1
Utility Bill Help Barisal #30,ইউটিলিটি বিল সহায়তা Barisal #30,service,utility,Reliable utility bill help available across Barisal.,Barisal জুড়ে নির্ভরযোগ্য ইউটিলিটি বিল সহায়তা উপলব্ধ।,Kotwali,Barisal,Barisal,"Kotwali, Barisal",01711009453,,3.7,,BDT 1200,"Verified, Fast Response",0
Home Cleaning Service Rangpur #31,হোম ক্লিনিং সার্ভিস Rangpur #31,service,home,Reliable home cleaning service available across Rangpur.,Rangpur জুড়ে নির্ভরযোগ্য হোম ক্লিনিং সার্ভিস উপলব্ধ।,Mirpur,Rangpur,Rangpur,"Mirpur, Rangpur",01711009590,,3.8,,Contact for pricing,"Verified, Fast Response",1
City Transport Service Mymensingh #32,সিটি ট্রান্সপোর্ট সার্ভিস Mymensingh #32,service,transport,Reliable city transport service available across Mymensingh.,Mymensingh জুড়ে নির্ভরযোগ্য সিটি ট্রান্সপোর্ট সার্ভিস উপলব্ধ।,Dhanmondi,Mymensingh,Mymensingh,"Dhanmondi, Mymensingh",01711009727,,3.9,,BDT 400,"Verified, Fast Response",0
Electronics Repair Dhaka #33,ইলেকট্রনিক্স রিপেয়ার Dhaka #33,service,repairs,Reliable electronics repair available across Dhaka.,Dhaka জুড়ে নির্ভরযোগ্য ইলেকট্রনিক্স রিপেয়ার উপলব্ধ।,Uttara,Dhaka,Dhaka,"Uttara, Dhaka",01711009864,,4.0,,BDT 500,"Verified, Fast Response",1
Online Doctor Consult Chittagong #34,অনলাইন ডাক্তার পরামর্শ Chittagong #34,service,telemedicine,Reliable online doctor consult available across Chittagong.,Chittagong জুড়ে নির্ভরযোগ্য অনলাইন ডাক্তার পরামর্শ উপলব্ধ।,Gulshan,Chittagong,Chittagong,"Gulshan, Chittagong",01711010001,,4.1,,Contact for pricing,"Verified, Fast Response",0
Home Tutor Service Rajshahi #35,হোম টিউটর সার্ভিস Rajshahi #35,service,tutor,Reliable home tutor service available across Rajshahi.,Rajshahi জুড়ে নির্ভরযোগ্য হোম টিউটর সার্ভিস উপলব্ধ।,Mohammadpur,Rajshahi,Rajshahi,"Mohammadpur, Rajshahi",01711010138,,4.2,,BDT 700,"Verified, Fast Response",1
Utility Bill Help Khulna #36,ইউটিলিটি বিল সহায়তা Khulna #36,service,utility,Reliable utility bill help available across Khulna.,Khulna জুড়ে নির্ভরযোগ্য ইউটিলিটি বিল সহায়তা উপলব্ধ।,Banani,Khulna,Khulna,"Banani, Khulna",01711010275,,4.3,,BDT 800,"Verified, Fast Response",0
Home Cleaning Service Sylhet #37,হোম ক্লিনিং সার্ভিস Sylhet #37,service,home,Reliable home cleaning service available across Sylhet.,Sylhet জুড়ে নির্ভরযোগ্য হোম ক্লিনিং সার্ভিস উপলব্ধ।,Agrabad,Sylhet,Sylhet,"Agrabad, Sylhet",01711010412,,4.4,,Contact for pricing,"Verified, Fast Response",1
City Transport Service Barisal #38,সিটি ট্রান্সপোর্ট সার্ভিস Barisal #38,service,transport,Reliable city transport service available across Barisal.,Barisal জুড়ে নির্ভরযোগ্য সিটি ট্রান্সপোর্ট সার্ভিস উপলব্ধ।,Zindabazar,Barisal,Barisal,"Zindabazar, Barisal",01711010549,,4.5,,BDT 1000,"Verified, Fast Response",0
Electronics Repair Rangpur #39,ইলেকট্রনিক্স রিপেয়ার Rangpur #39,service,repairs,Reliable electronics repair available across Rangpur.,Rangpur জুড়ে নির্ভরযোগ্য ইলেকট্রনিক্স রিপেয়ার উপলব্ধ।,Sadar,Rangpur,Rangpur,"Sadar, Rangpur",01711010686,,4.6,,BDT 1100,"Verified, Fast Response",1
Online Doctor Consult Mymensingh #40,অনলাইন ডাক্তার পরামর্শ Mymensingh #40,service,telemedicine,Reliable online doctor consult available across Mymensingh.,Mymensingh জুড়ে নির্ভরযোগ্য অনলাইন ডাক্তার পরামর্শ উপলব্ধ।,Kotwali,Mymensingh,Mymensingh,"Kotwali, Mymensingh",01711010823,,4.7,,Contact for pricing,"Verified, Fast Response",0
Home Tutor Service Dhaka #41,হোম টিউটর সার্ভিস Dhaka #41,service,tutor,Reliable home tutor service available across Dhaka.,Dhaka জুড়ে নির্ভরযোগ্য হোম টিউটর সার্ভিস উপলব্ধ।,Mirpur,Dhaka,Dhaka,"Mirpur, Dhaka",01711010960,,4.8,,BDT 300,"Verified, Fast Response",1
Utility Bill Help Chittagong #42,ইউটিলিটি বিল সহায়তা Chittagong #42,service,utility,Reliable utility bill help available across Chittagong.,Chittagong জুড়ে নির্ভরযোগ্য ইউটিলিটি বিল সহায়তা উপলব্ধ।,Dhanmondi,Chittagong,Chittagong,"Dhanmondi, Chittagong",01711011097,,4.9,,BDT 400,"Verified, Fast Response",0
Home Cleaning Service Rajshahi #43,হোম ক্লিনিং সার্ভিস Rajshahi #43,service,home,Reliable home cleaning service available across Rajshahi.,Rajshahi জুড়ে নির্ভরযোগ্য হোম ক্লিনিং সার্ভিস উপলব্ধ।,Uttara,Rajshahi,Rajshahi,"Uttara, Rajshahi",01711011234,,3.6,,Contact for pricing,"Verified, Fast Response",1
City Transport Service Khulna #44,সিটি ট্রান্সপোর্ট সার্ভিস Khulna #44,service,transport,Reliable city transport service available across Khulna.,Khulna জুড়ে নির্ভরযোগ্য সিটি ট্রান্সপোর্ট সার্ভিস উপলব্ধ।,Gulshan,Khulna,Khulna,"Gulshan, Khulna",01711011371,,3.7,,BDT 600,"Verified, Fast Response",0
Electronics Repair Sylhet #45,ইলেকট্রনিক্স রিপেয়ার Sylhet #45,service,repairs,Reliable electronics repair available across Sylhet.,Sylhet জুড়ে নির্ভরযোগ্য ইলেকট্রনিক্স রিপেয়ার উপলব্ধ।,Mohammadpur,Sylhet,Sylhet,"Mohammadpur, Sylhet",01711011508,,3.8,,BDT 700,"Verified, Fast Response",1
Online Doctor Consult Barisal #46,অনলাইন ডাক্তার পরামর্শ Barisal #46,service,telemedicine,Reliable online doctor consult available across Barisal.,Barisal জুড়ে নির্ভরযোগ্য অনলাইন ডাক্তার পরামর্শ উপলব্ধ।,Banani,Barisal,Barisal,"Banani, Barisal",01711011645,,3.9,,Contact for pricing,"Verified, Fast Response",0
Home Tutor Service Rangpur #47,হোম টিউটর সার্ভিস Rangpur #47,service,tutor,Reliable home tutor service available across Rangpur.,Rangpur জুড়ে নির্ভরযোগ্য হোম টিউটর সার্ভিস উপলব্ধ।,Agrabad,Rangpur,Rangpur,"Agrabad, Rangpur",01711011782,,4.0,,BDT 900,"Verified, Fast Response",1
Utility Bill Help Mymensingh #48,ইউটিলিটি বিল সহায়তা Mymensingh #48,service,utility,Reliable utility bill help available across Mymensingh.,Mymensingh জুড়ে নির্ভরযোগ্য ইউটিলিটি বিল সহায়তা উপলব্ধ।,Zindabazar,Mymensingh,Mymensingh,"Zindabazar, Mymensingh",01711011919,,4.1,,BDT 1000,"Verified, Fast Response",0
Home Cleaning Service Dhaka #49,হোম ক্লিনিং সার্ভিস Dhaka #49,service,home,Reliable home cleaning service available across Dhaka.,Dhaka জুড়ে নির্ভরযোগ্য হোম ক্লিনিং সার্ভিস উপলব্ধ।,Sadar,Dhaka,Dhaka,"Sadar, Dhaka",01711012056,,4.2,,Contact for pricing,"Verified, Fast Response",1
City Transport Service Chittagong #50,সিটি ট্রান্সপোর্ট সার্ভিস Chittagong #50,service,transport,Reliable city transport service available across Chittagong.,Chittagong জুড়ে নির্ভরযোগ্য সিটি ট্রান্সপোর্ট সার্ভিস উপলব্ধ।,Kotwali,Chittagong,Chittagong,"Kotwali, Chittagong",01711012193,,4.3,,BDT 1200,"Verified, Fast Response",0
