title,title_bn,category,source,link,description,description_bn,is_active
SSC Result 2024 - 11,এসএসসি ফলাফল - 11,govt,Education Board,https://example.gov.bd/notice/11,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
HSC Admission 2025 - 12,এইচএসসি ভর্তি - 12,education,BUET,https://example.gov.bd/notice/12,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Govt Job Circular 2024 - 13,সরকারি চাকরি - 13,job,Ministry of Health,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Health Camp 2025 - 14,স্বাস্থ্য ক্যাম্প - 14,health,BRTC,https://example.gov.bd/notice/14,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Scholarship Notice 2024 - 15,বৃত্তি নোটিশ - 15,general,DGHS,https://example.gov.bd/notice/15,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
SSC Result 2025 - 16,এসএসসি ফলাফল - 16,govt,Education Board,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
HSC Admission 2024 - 17,এইচএসসি ভর্তি - 17,education,BUET,https://example.gov.bd/notice/17,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Govt Job Circular 2025 - 18,সরকারি চাকরি - 18,job,Ministry of Health,https://example.gov.bd/notice/18,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Health Camp 2024 - 19,স্বাস্থ্য ক্যাম্প - 19,health,BRTC,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Scholarship Notice 2025 - 20,বৃত্তি নোটিশ - 20,general,DGHS,https://example.gov.bd/notice/20,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
SSC Result 2024 - 21,এসএসসি ফলাফল - 21,govt,Education Board,https://example.gov.bd/notice/21,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
HSC Admission 2025 - 22,এইচএসসি ভর্তি - 22,education,BUET,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Govt Job Circular 2024 - 23,সরকারি চাকরি - 23,job,Ministry of Health,https://example.gov.bd/notice/23,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Health Camp 2025 - 24,স্বাস্থ্য ক্যাম্প - 24,health,BRTC,https://example.gov.bd/notice/24,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Scholarship Notice 2024 - 25,বৃত্তি নোটিশ - 25,general,DGHS,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
SSC Result 2025 - 26,এসএসসি ফলাফল - 26,govt,Education Board,https://example.gov.bd/notice/26,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
HSC Admission 2024 - 27,এইচএসসি ভর্তি - 27,education,BUET,https://example.gov.bd/notice/27,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Govt Job Circular 2025 - 28,সরকারি চাকরি - 28,job,Ministry of Health,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Health Camp 2024 - 29,স্বাস্থ্য ক্যাম্প - 29,health,BRTC,https://example.gov.bd/notice/29,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Scholarship Notice 2025 - 30,বৃত্তি নোটিশ - 30,general,DGHS,https://example.gov.bd/notice/30,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
SSC Result 2024 - 31,এসএসসি ফলাফল - 31,govt,Education Board,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
HSC Admission 2025 - 32,এইচএসসি ভর্তি - 32,education,BUET,https://example.gov.bd/notice/32,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Govt Job Circular 2024 - 33,সরকারি চাকরি - 33,job,Ministry of Health,https://example.gov.bd/notice/33,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Health Camp 2025 - 34,স্বাস্থ্য ক্যাম্প - 34,health,BRTC,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Scholarship Notice 2024 - 35,বৃত্তি নোটিশ - 35,general,DGHS,https://example.gov.bd/notice/35,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
SSC Result 2025 - 36,এসএসসি ফলাফল - 36,govt,Education Board,https://example.gov.bd/notice/36,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
HSC Admission 2024 - 37,এইচএসসি ভর্তি - 37,education,BUET,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Govt Job Circular 2025 - 38,সরকারি চাকরি - 38,job,Ministry of Health,https://example.gov.bd/notice/38,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Health Camp 2024 - 39,স্বাস্থ্য ক্যাম্প - 39,health,BRTC,https://example.gov.bd/notice/39,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Scholarship Notice 2025 - 40,বৃত্তি নোটিশ - 40,general,DGHS,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
SSC Result 2024 - 41,এসএসসি ফলাফল - 41,govt,Education Board,https://example.gov.bd/notice/41,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
HSC Admission 2025 - 42,এইচএসসি ভর্তি - 42,education,BUET,https://example.gov.bd/notice/42,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Govt Job Circular 2024 - 43,সরকারি চাকরি - 43,job,Ministry of Health,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Health Camp 2025 - 44,স্বাস্থ্য ক্যাম্প - 44,health,BRTC,https://example.gov.bd/notice/44,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Scholarship Notice 2024 - 45,বৃত্তি নোটিশ - 45,general,DGHS,https://example.gov.bd/notice/45,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
SSC Result 2025 - 46,এসএসসি ফলাফল - 46,govt,Education Board,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
HSC Admission 2024 - 47,এইচএসসি ভর্তি - 47,education,BUET,https://example.gov.bd/notice/47,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Govt Job Circular 2025 - 48,সরকারি চাকরি - 48,job,Ministry of Health,https://example.gov.bd/notice/48,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Health Camp 2024 - 49,স্বাস্থ্য ক্যাম্প - 49,health,BRTC,,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
Scholarship Notice 2025 - 50,বৃত্তি নোটিশ - 50,general,DGHS,https://example.gov.bd/notice/50,Official notice regarding the mentioned subject. Please read carefully.,উল্লিখিত বিষয়ে সরকারি নোটিশ। অনুগ্রহ করে মনোযোগ দিয়ে পড়ুন।,1
